perl-try-tiny 0.30-6
perl-uri 5.09-2
perl-www-robotrules 6.02-9
perl-xml-libxml 2.0207-2
perl-xml-namespacesupport 1.12-4
perl-xml-parser 2.46-3
perl-xml-sax 1.02-1
perl-xml-sax-base 1.09-4
perl-xml-writer 0.625-7
picom 8.2-1
pigz 2.6-1
pinentry 1.1.1-1
pipewire 1:0.3.32-2
pixman 0.40.0-1
pixz 1.0.7-2
pkcs11-helper 1.27.0-1
pkgconf 1.7.3-1
playerctl 2.3.1-1
polkit 0.119-1
polkit-gnome 0.105-8
polybar 3.5.6-1
poppler 21.08.0-1
popt 1.18-1
portaudio 1:19.7.0-1
ppp 2.4.9-1
pptpclient 1.10.0-2
procps-ng 3.3.17-1
progsreiserfs 0.3.0.5-10
protobuf 3.17.3-1
psmisc 23.4-1
pulseaudio 15.0-1
pulseaudio-alsa 1:1.2.5-2
pulseaudio-bluetooth 15.0-1
python 3.9.6-1
python-appdirs 1.4.4-3
python-cairo 1.20.0-3
python-chardet 4.0.0-2
python-distro 1.5.0-3
python-dnspython 1:1.16.0-3
python-gobject 3.40.1-1
python-idna 3.2-1
python-markdown 3.3.4-1
python-more-itertools 8.8.0-1
python-numpy 1.20.3-1
python-ordered-set 4.0.2-3
python-packaging 20.9-1
python-ply 3.11-7
python-psutil 5.8.0-1
python-pycups 2.0.1-3
python-pycurl 7.43.0.6-4
python-pyparsing 2.4.7-3
python-requests 2.26.0-1
python-setproctitle 1.2.2-1
python-setuptools 1:57.4.0-1
python-six 1.16.0-1
python-urllib3 1.26.6-1
qpdf 10.3.2-1
qt5-base 5.15.2+kde+r211-1
qt5-declarative 5.15.2+kde+r29-1
qt5-imageformats 5.15.2-1
qt5-svg 5.15.2+kde+r7-1
qt5-wayland 5.15.2+kde+r29-1
qt5-x11extras 5.15.2-1
quazip 1.1-1
raptor 2.0.15-16
rav1e 0.4.1-1
readline 8.1.001-1
reflector 2021.7.8-1
reiserfsprogs 3.6.27-3
rest 0.8.1-3
